trade,actual_days,actual_pnl,peak_pnl,peak_day,exit_at_peak_day,exit_at_peak_pnl,improvement
1,14,-249.60000000000045,7.399999999999546,8,8,7.399999999999546,257.0
2,14,-549.6,-8.6,1,1,-8.6,541.0
3,5,-204.6,-8.6,1,1,-8.6,196.0
4,14,113.4,136.4,9,9,136.4,23.0
5,14,505.39999999999907,650.4,8,8,650.4,145.0000000000009
6,8,-278.6,-8.6,1,1,-8.6,270.0
7,14,-83.60000000000045,78.39999999999955,2,2,78.39999999999955,162.0
8,14,-202.6,-8.600000000000454,1,1,-8.600000000000454,193.99999999999955
9,14,597.3999999999991,1096.3999999999996,9,9,1096.3999999999996,499.00000000000057
10,5,154.39999999999955,154.39999999999955,4,4,154.39999999999955,0.0
11,14,-397.60000000000025,-1.6,5,5,-1.6,396.0000000000002
12,14,-3.6,96.4,5,3,89.4,93.0
13,2,120.39999999999957,120.39999999999955,3,3,120.39999999999955,-1.4210854715202004e-14
14,14,399.3999999999995,399.3999999999995,10,10,399.3999999999995,0.0
15,14,-89.60000000000022,58.39999999999977,3,3,58.39999999999977,148.0
16,14,43.39999999999909,311.39999999999907,7,7,311.39999999999907,268.0
17,2,115.3999999999991,115.3999999999991,3,3,115.3999999999991,0.0
18,14,-306.6,166.4,6,6,166.4,473.0
19,6,-155.60000000000045,-8.6,1,1,-8.6,147.00000000000045
20,6,-154.6,-8.600000000000454,1,1,-8.600000000000454,145.99999999999955
21,14,221.39999999999955,227.4,6,6,227.4,6.000000000000455
22,14,-202.6,139.4,5,4,132.4,335.0
23,4,-172.59999999999954,-8.6,1,1,-8.6,163.99999999999955
24,14,-125.60000000000043,474.3999999999995,7,6,446.3999999999995,572.0
25,5,-122.6000000000009,-8.6,1,1,-8.6,114.00000000000091
26,9,-270.6,-8.6,1,1,-8.6,262.0
27,14,244.39999999999955,445.3999999999995,8,8,445.3999999999995,200.99999999999997
28,10,-200.6,72.39999999999955,3,3,72.39999999999955,272.99999999999955
29,14,-401.6,-8.6,1,1,-8.6,393.0
30,14,-270.6000000000007,285.3999999999995,4,4,285.3999999999995,556.0000000000002
31,14,-26.6,22.4,9,9,22.4,49.0
32,11,10.399999999999546,51.399999999999544,2,2,51.399999999999544,41.0
33,14,-189.60000000000045,-8.600000000000227,1,1,-8.600000000000227,181.00000000000023
34,14,493.4,493.4,11,11,493.4,0.0
35,14,-32.6,82.39999999999955,10,10,82.39999999999955,114.99999999999955
36,14,-39.6,276.4,7,7,276.4,316.0
37,14,-211.6,-8.600000000000227,1,1,-8.600000000000227,202.99999999999977
38,7,611.4,611.4,5,5,611.4,0.0
39,13,99.4,228.39999999999955,8,8,228.39999999999955,128.99999999999955
40,14,36.4,612.3999999999995,8,7,572.3999999999995,535.9999999999995
41,14,-37.6,18.4,8,8,18.4,56.0
42,14,-320.6,-8.600000000000454,1,1,-8.600000000000454,311.99999999999955
