entry,exit,days,spy_move,pnl
2020-04-09,2020-04-23,14,-0.5842293906810014,-249.60000000000045
2020-04-23,2020-05-07,14,4.376825179363308,-549.6
2020-05-07,2020-05-12,5,-2.145003626817721,-204.6
2020-05-19,2020-06-02,14,5.534866240732517,113.4
2020-06-02,2020-06-16,14,1.6057496196056897,505.39999999999907
2020-06-16,2020-06-24,8,-3.1989804046519077,-278.6
2020-07-20,2020-08-03,14,1.365598027127013,-83.60000000000045
2020-08-04,2020-08-18,14,2.703030303030318,-202.6
2020-08-21,2020-09-04,14,0.6918887089651271,597.3999999999991
2020-10-21,2020-10-26,5,-0.6005742075349985,154.39999999999955
2020-11-16,2020-11-30,14,0.7104157452454629,-397.60000000000025
2020-11-30,2020-12-14,14,0.3513298383333918,-3.6
2021-03-01,2021-03-03,2,-2.343289321881803,120.39999999999955
2021-04-01,2021-04-15,14,3.65440223352278,399.3999999999995
2021-04-16,2021-04-30,14,0.13917216556689205,-89.60000000000022
2021-10-28,2021-11-11,14,1.7505470459518557,43.39999999999909
2022-01-03,2022-01-05,2,-1.8111390284757167,115.3999999999991
2022-03-23,2022-04-06,14,0.1935454831885508,-306.6
2022-04-07,2022-04-13,6,-1.3845605912207293,-155.60000000000045
2022-07-19,2022-07-25,6,0.30763358778627126,-154.6
2022-07-27,2022-08-10,14,4.888888888888876,221.39999999999955
2022-08-10,2022-08-24,14,-1.4901923443153664,-202.6
2022-10-28,2022-11-01,4,-1.4633521271142924,-172.59999999999954
2022-11-07,2022-11-21,14,3.7470787490481383,-125.60000000000045
2022-11-23,2022-11-28,5,-1.6448755799240766,-122.6000000000009
2022-11-30,2022-12-09,9,-3.7867647058823506,-270.6
2023-01-24,2023-02-07,14,3.75090586500737,244.39999999999955
2023-02-07,2023-02-17,10,-1.9124235271448575,-200.6
2023-04-06,2023-04-20,14,0.6549364613880782,-401.6
2023-06-12,2023-06-26,14,-0.5440420479955743,-270.6000000000007
2023-06-30,2023-07-14,14,1.3604060913705585,-26.6
2023-07-24,2023-08-04,11,-1.6292382210479905,10.399999999999546
2023-11-15,2023-11-29,14,1.1098013922558492,-189.60000000000045
2023-11-29,2023-12-13,14,3.479829307993487,493.4
2024-02-02,2024-02-16,14,1.05610293968883,-32.6
2024-02-29,2024-03-14,14,1.3681102362204767,-39.6
2024-05-15,2024-05-29,14,-0.6889912413168164,-211.6
2024-08-30,2024-09-06,7,-4.10596731550652,611.4
2024-10-03,2024-10-16,13,2.546761069428305,99.4
2025-05-08,2025-05-22,14,3.205763647950155,36.4
2025-05-23,2025-06-06,14,3.4308308584847014,-37.6
2025-07-03,2025-07-17,14,0.4221703393354037,-320.6
