trade_id,entry_date,entry_spot,strike,expiry,dte,entry_call_mid,entry_put_mid,entry_straddle,entry_cost,commission,regime,exit_date,exit_spot,exit_straddle,exit_proceeds,gross_pnl,net_pnl,exit_reason
Trade_001,2020-05-20,296.83,297,2020-08-21,93,14.1,15.33,29.46,2946.0,2.6,1,2020-06-03,312.65,31.509999999999998,3151.0,205.0,202.4,Held 14d
Trade_002,2020-06-16,313.85,314,2020-08-21,66,13.37,16.06,29.46,2946.0,2.6,1,2020-06-19,306.1,28.450000000000003,2845.0000000000005,-100.99999999999955,-103.59999999999954,Regime change
Trade_003,2020-08-04,330.0,330,2020-10-16,73,11.95,13.17,25.15,2515.0,2.6,1,2020-08-18,338.92,23.15,2315.0,-200.0,-202.6,Held 14d
Trade_004,2021-01-07,379.88,380,2021-03-19,71,11.92,13.33,25.28,2528.0,2.6,1,2021-01-15,374.52,24.93,2493.0,-35.0,-37.6,Regime change
Trade_005,2021-04-23,416.25,416,2021-07-16,84,12.52,12.53,25.08,2508.0,2.6,1,2021-04-26,417.95,25.03,2503.0,-5.0,-7.6,Regime change
Trade_006,2021-05-04,415.58,416,2021-07-16,73,11.37,13.71,25.11,2511.0,2.6,1,2021-05-05,415.68,23.89,2389.0,-122.0,-124.6,Regime change
Trade_007,2021-07-21,434.96,435,2021-10-15,86,12.22,13.48,25.730000000000004,2573.0000000000005,2.6,1,2021-07-26,440.73,27.0,2700.0,126.99999999999955,124.39999999999955,Regime change
Trade_008,2021-08-23,448.0,448,2021-11-19,88,12.16,14.03,26.22,2622.0,2.6,3,2021-09-07,451.11,24.57,2457.0,-165.0,-167.6,Held 15d
Trade_009,2021-11-12,467.6,468,2022-01-21,70,10.93,12.23,23.19,2319.0,2.6,1,2021-11-26,457.1,27.25,2725.0,406.0,403.4,Held 14d
Trade_010,2022-08-02,408.16,408,2022-10-21,80,17.05,16.67,33.75,3375.0,2.6,1,2022-08-16,429.7,34.870000000000005,3487.0000000000005,112.00000000000045,109.40000000000046,Held 14d
Trade_011,2023-01-23,400.59,401,2023-04-21,88,15.2,13.35,28.58,2858.0,2.6,1,2023-01-30,400.63,28.03,2803.0,-55.0,-57.6,Regime change
Trade_012,2023-02-07,415.18,415,2023-04-21,73,13.7,12.26,25.990000000000002,2599.0,2.6,1,2023-02-17,407.24,24.009999999999998,2401.0,-198.0,-200.6,Regime change
Trade_013,2023-04-28,415.93,416,2023-07-21,84,13.93,10.9,24.86,2486.0,2.6,1,2023-05-01,415.53,24.28,2428.0,-58.0,-60.6,Regime change
Trade_014,2023-06-01,421.81,422,2023-08-18,78,12.77,9.9,22.700000000000003,2270.0000000000005,2.6,1,2023-06-12,433.79,24.22,2422.0,151.99999999999955,149.39999999999955,Regime change
Trade_015,2023-06-23,433.21,433,2023-09-15,84,13.84,9.16,23.03,2303.0,2.6,1,2023-07-07,438.521,25.52,2552.0,249.0,246.4,Held 14d
Trade_016,2023-08-01,456.465,456,2023-10-20,80,13.47,9.13,22.630000000000003,2263.0000000000005,2.6,1,2023-08-02,450.14,23.04,2304.0,40.999999999999545,38.399999999999544,Regime change
Trade_017,2023-08-09,445.75,446,2023-10-20,72,13.23,9.83,23.090000000000003,2309.0000000000005,2.6,3,2023-08-15,442.94,21.92,2192.0,-117.00000000000045,-119.60000000000045,Regime change
Trade_018,2023-12-19,474.82,475,2024-03-15,87,14.82,9.57,24.42,2442.0,2.6,1,2024-01-02,472.6,21.36,2136.0,-306.0,-308.6,Held 14d
Trade_019,2024-01-23,484.88,485,2024-04-19,87,13.6,8.97,22.6,2260.0,2.6,1,2024-01-29,491.26,24.74,2474.0,214.0,211.4,Regime change
